name,weight
JEAN,1911457
PIERRE,892384
MICHEL,820560
ANDRÉ,712248
PHILIPPE,538712
LOUIS,535819
RENÉ,516230
ALAIN,506983
JACQUES,483167
MARCEL,470146
BERNARD,469277
DANIEL,437077
PAUL,427921
ROGER,423607
ROBERT,419204
CLAUDE,411760
HENRI,406642
NICOLAS,405952
CHRISTIAN,405760
GEORGES,405599
FRANÇOIS,398710
PATRICK,395208
GÉRARD,379376
JOSEPH,378971
CHRISTOPHE,375993
JULIEN,345063
MAURICE,337173
LAURENT,328530
FRÉDÉRIC,327879
ERIC,318345
DAVID,315522
STÉPHANE,308519
PASCAL,307826
ALEXANDRE,304753
SÉBASTIEN,304082
THIERRY,289560
ANTOINE,283179
THOMAS,281314
OLIVIER,280298
RAYMOND,272848
GUY,265706
CHARLES,243867
DOMINIQUE,241962
MARC,238058
DIDIER,237167
VINCENT,232522
YVES,229373
MAXIME,223529
GUILLAUME,222838
BRUNO,220700
SERGE,219134
LUCIEN,218223
JEAN-PIERRE,215202
ALBERT,204344
GABRIEL,202667
ROMAIN,192799
LUCAS,183933
JEROME,182069
GILBERT,180112
FRANCK,177741
GILLES,175593
CLÉMENT,174982
JEAN-CLAUDE,174078
ANTHONY,173755
JULES,169909
EMILE,167530
FRANCIS,166182
RAPHAËL,154730
HUGO,153126
DENIS,153109
KEVIN,152764
MATHIEU,152492
BENJAMIN,152070
ALEXIS,150082
JOËL,146574
HERVÉ,139549
ADRIEN,138679
PATRICE,138106
EMMANUEL,136589
SYLVAIN,135890
ARTHUR,135297
ARNAUD,134718
FABRICE,134527
VICTOR,134023
CEDRIC,133531
ROLAND,132484
LÉON,130749
QUENTIN,128756
FLORIAN,127803
LUDOVIC,127125
DAMIEN,126294
THÉO,125800
BENOÎT,125609
NATHAN,120602
ENZO,119236
LÉO,119029
FERNAND,118640
JEAN-LUC,117717
JEREMY,117193
VALENTIN,115283
XAVIER,112670
FABIEN,110975
MICKAEL,108567
BAPTISTE,107151
EUGÈNE,106367
LOÏC,105971
JONATHAN,105496
JEAN-FRANÇOIS,99726
MOHAMED,98186
SAMUEL,95472
GASTON,93996
SIMON,93143
LIONEL,92423
TOM,92202
JEAN-MARC,91040
RÉMI,90353
MARIUS,89137
CYRIL,88430
MATHIS,88381
JEAN-PAUL,87965
AXEL,87897
JEAN-MARIE,86921
JEAN-MICHEL,86887
YANN,86713
YANNICK,86548
AUGUSTE,85887
ETIENNE,84879
RICHARD,84022
MATTHIEU,82198
MICHAEL,81253
CAMILLE,80972
JEAN-LOUIS,80731
GREGORY,80034
AURÉLIEN,79832
ADAM,79360
EDOUARD,79055
WILLIAM,78908
RÉMY,74171
ETHAN,70848
MARTIN,70558
FLORENT,69789
JACKY,69156
NOAH,68617
DYLAN,68612
BERTRAND,67379
ARMAND,67020
ALFRED,65898
HUBERT,65788
LUC,65369
YANIS,64892
MAXENCE,63970
SACHA,61341
REGIS,60651
CORENTIN,59410
ROBIN,57503
JOSÉ,57385
BASTIEN,55939
THIBAULT,55600
JORDAN,55348
EDMOND,54629
MATHÉO,54370
ERNEST,54287
JEAN-JACQUES,54050
GAËTAN,52495
TONY,52075
NOLAN,51729
NOËL,51635
FÉLIX,50864
GABIN,50384
JEAN-BAPTISTE,49149
EVAN,46808
MEHDI,46407
AUGUSTIN,46346
JEAN-PHILIPPE,46021
ELIE,44547
LIAM,44354
ALPHONSE,43539
RAYAN,43433
YOANN,42657
TRISTAN,42425
ANTONIN,41769
MAËL,41753
YVON,40537
ERWAN,40377
MAX,40075
MATHIAS,40000
KARIM,39088
DIMITRI,38710
AIME,38680
CHRISTOPHER,38546
JEAN-YVES,37832
GUSTAVE,37386
THIBAUT,37123
CYRILLE,36855
MARTIAL,36762
MANUEL,36680
MATTÉO,36353
JIMMY,36099
AARON,35937
JOHAN,35208
DORIAN,33834
STEVEN,33452
NOA,33321
GERMAIN,32900
MAEL,32833
GÉRALD,32148
MARCEAU,32146
JEAN-CHRISTOPHE,32060
ALEX,31509
RAOUL,31172
MORGAN,31159
TIMÉO,30952
KYLIAN,30703
ESTEBAN,30542
ALI,30014
MATHYS,28786
ALBAN,28695
LORENZO,28352
BRICE,28315
LENNY,28168
ABEL,28151
GEOFFREY,27873
GAEL,27642
NOÉ,27591
ELIOTT,27509
YVAN,27380
JAMES,27079
GASPARD,27031
MARIE,26864
LILIAN,26804
NORBERT,26738
JEREMIE,26649
GRÉGOIRE,26476
OSCAR,26150
HUGUES,25654
AMINE,25489
BRYAN,25179
EDDY,24867
YOHAN,24843
EDEN,24708
RENAUD,24495
SOFIANE,24395
MALO,24318
EMILIEN,24264
ISAAC,24253
CHARLY,24180
TEDDY,23678
TIAGO,23650
IBRAHIM,23567
RODOLPHE,23407
YOHANN,22990
JÉRÔME,22979
AHMED,22695
TIMOTHÉE,22682
NINO,22547
AYMERIC,22399
NOE,22275
JUSTIN,22220
KILLIAN,21936
STEVE,21822
YASSINE,21559
YOUSSEF,21536
TITOUAN,21391
STANISLAS,21196
JASON,21182
DIEGO,20900
ALAN,20872
ANTONIO,20663
ILYES,20515
RUDY,20486
AMAURY,20353
ROMUALD,19938
RYAN,19622
ANGE,19469
JEAN-CHARLES,19441
JOHANN,19370
CÉDRIC,19238
MATÉO,19109
NAËL,19049
NOAM,18989
DÉSIRÉ,18862
RACHID,18787
WILLY,18665
JULIAN,18615
PIERRICK,18592
AYOUB,18534
SAMY,18353
AMIR,18342
DANY,18250
FARID,18183
TANGUY,18031
JACKIE,18020
YOUNES,17807
GAUTHIER,17730
ALLAN,17728
ANTONY,17572
NASSIM,17547
MIKAEL,17538
ACHILLE,17525
RAFAEL,17376
LÉANDRE,17236
PABLO,17179
SAMIR,17158
LOGAN,17033
BASILE,16981
JÉRÉMY,16976
MARIO,16751
LUCA,16711
FREDDY,16562
TIMEO,16497
ADOLPHE,16434
RUBEN,16399
YOAN,16393
JORIS,16334
HAMZA,16304
FERDINAND,16249
YACINE,16177
RONAN,16153
BORIS,15863
LORIS,15801
MATTHIAS,15662
ELIAS,15630
CHARLIE,15615
MILO,15507
KENZO,15463
JOHNNY,15429
LYAM,15323
CONSTANT,15285
THIBAUD,15175
BILAL,15045
JEAN-NOËL,14943
SAMI,14839
MIGUEL,14728
JOACHIM,14682
FLAVIEN,14650
OWEN,14595
LEOPOLD,14550
MICKAËL,14492
YANNIS,14471
JOHN,14453
KÉVIN,14401
IMRAN,14395
JACK,14376
THEOPHILE,14233
ISMAEL,14192
WASSIM,14173
LOUKA,14098
ILAN,14066
ARSENE,14036
KAMEL,13917
KAÏS,13855
ZAKARIA,13823
LOAN,13687
OCTAVE,13385
SOAN,13287
EWEN,13206
AYDEN,13201
ANGELO,13163
JESSY,13159
WILFRIED,12943
MILAN,12936
NABIL,12844
STEPHAN,12797
MALIK,12793
SOHAN,12710
JOCELYN,12668
ADEM,12646
ANDY,12414
RAYANE,12396
ELIO,12351
GHISLAIN,12257
OMAR,12244
WALID,12239
MARVIN,12175
MAXIMILIEN,12167
ROMÉO,12147
ELIOT,12072
NOHAM,12018
HENRY,12001
MARIN,11912
GIOVANNI,11895
MOUSSA,11883
ISMAËL,11876
LEONARD,11872
ULYSSE,11799
GRÉGORY,11754
ANAS,11748
THEODORE,11671
JOSHUA,11662
MOISE,11618
FRANK,11579
MOHAMMED,11438
NAEL,11337
MELVIN,11295
SAID,11242
BRANDON,11150
UGO,11122
LUKA,11120
SASHA,11104
HIPPOLYTE,10846
MAHÉ,10808
CELESTIN,10769
CÔME,10753
CLOVIS,10740
KILIAN,10725
CYPRIEN,10692
CARLOS,10673
KARL,10553
ANIS,10435
SALIM,10394
ANATOLE,10281
NAÏM,10238
SANDRO,10209
ABDELKADER,10206
HAKIM,10139
ISSA,10114
STEEVE,10054
CLAUDIUS,9992
IVAN,9870
LUIS,9825
ELOI,9762
VIVIEN,9580
JONAS,9564
ROMAN,9563
TÉO,9539
DAVY,9469
LUKAS,9454
MUSTAPHA,9410
AYMEN,9331
ADEL,9329
PIERRE-YVES,9291
JUAN,9288
HECTOR,9241
MICHAËL,9228
EMERIC,9172
ALIX,9146
IDRISS,9113
BRAHIM,9111
KYLLIAN,9076
EDGAR,9067
ROLLAND,8970
LEO,8945
JEAN-BERNARD,8924
GAUTIER,8910
GIANNI,8886
ALESSIO,8877
GEOFFROY,8845
ELLIOT,8840
MIKE,8745
NORDINE,8721
FIRMIN,8717
NATHANAEL,8686
RAPHAEL,8610
FABIO,8570
ANGEL,8490
TIMOTHE,8466
DJIBRIL,8448
KLEBER,8368
VIRGILE,8364
MARCO,8331
AMBROISE,8320
MALONE,8315
PAOLO,8301
GUILHEM,8280
MOURAD,8258
CESAR,8204
NELSON,8195
LIVIO,8182
WILFRID,8151
ILYAN,8137
HONORE,8106
BRIAN,8088
LOÏS,8083
ARISTIDE,8047
RODRIGUE,8008
LINO,7949
MAMADOU,7919
MARWAN,7845
GILDAS,7833
GAËL,7832
ILYAS,7738
GWENAEL,7733
AMEDEE,7701
JOFFREY,7641
NOLANN,7603
ERWANN,7575
ELOUAN,7573
FRANCISCO,7504
NILS,7499
AUBIN,7442
DONOVAN,7396
TIM,7381
NOLHAN,7373
KENNY,7361
RAFAËL,7332
LENY,7298
ANDRÉA,7294
FRANÇOIS-XAVIER,7266
LEONCE,7249
FARES,7220
NAHIL,7200
DJAMEL,7168
JOAN,7155
NATHANAËL,7142
TIMOTHÉ,7100
FLORENTIN,7051
HADRIEN,7015
BILEL,7002
CASIMIR,6968
ERICK,6915
EZIO,6877
PROSPER,6852
FELICIEN,6850
AMAR,6782
MAÉ,6665
BARTHELEMY,6664
EWAN,6652
ARMEL,6633
EDGARD,6628
WALTER,6610
GINO,6599
MATIS,6571
ISSAM,6555
ANDREA,6541
WARREN,6533
SAM,6506
SULLIVAN,6494
COLIN,6488
YOUCEF,6474
ABDALLAH,6387
TOMMY,6370
THIAGO,6368
STEPHEN,6367
JOANNES,6365
ISIDORE,6324
ISMAIL,6257
PIERRE-LOUIS,6234
MATTEO,6152
SWANN,6143
MOUNIR,6092
OMER,6063
SOFIAN,6036
ADRIAN,6013
HARRY,5993
FRANTZ,5974
AYLAN,5955
LOHAN,5955
SELIM,5950
MATHURIN,5946
GWENDAL,5892
IMRANE,5856
HICHAM,5846
KAIS,5834
LÉONARD,5788
YLAN,5757
ALBIN,5750
MYLAN,5718
ILIAN,5682
HASSAN,5680
JOSSELIN,5663
WESLEY,5621
ADIL,5587
TAO,5561
CARL,5550
GARY,5535
SWAN,5529
PAULIN,5501
YASSIN,5493
LOUISON,5480
NADIR,5448
PETER,5448
MARC-ANTOINE,5436
LEANDRO,5431
CHRIS,5387
ZACHARIE,5383
REDA,5358
THEO,5349
SOULEYMANE,5328
PEDRO,5275
COME,5257
FOUAD,5253
MAYRON,5216
REYNALD,5206
JEAN-SÉBASTIEN,5202
MELVYN,5190
ANTON,5160
CAMERON,5144
HAROUN,5137
YAN,5133
GERVAIS,5078
ROMARIC,5055
SABRI,4995
RÉGIS,4957
EMILIO,4953
VIANNEY,4936
VICTORIEN,4935
JÉRÉMIE,4929
HAYDEN,4915
NAIM,4914
JEAN-PASCAL,4902
DRISS,4865
EVANN,4850
VALERY,4831
MARCUS,4804
KAMIL,4801
JAYDEN,4796
ABDEL,4791
FERNANDO,4762
ARSÈNE,4721
DAN,4713
MATTHEW,4702
ALEXY,4621
ILHAN,4612
LUIGI,4608
SOLAL,4602
JOAQUIM,4583
MOHAMED-AMINE,4524
FRANCISQUE,4506
KHALIL,4504
MUSTAFA,4498
MARLEY,4497
MATHEO,4492
CALVIN,4462
YUSUF,4459
KASSIM,4457
CLEMENT,4450
HOCINE,4444
RYAD,4438
HILAIRE,4414
JAMEL,4406
EDDIE,4398
MARLON,4369
FABIAN,4354
FRED,4338
TOUSSAINT,4313
IRENEE,4300
URBAIN,4291
BLAISE,4283
KHALID,4275
FREDERICK,4273
NASSER,4272
JEAN-RENÉ,4269
ABDOULAYE,4267
EMIR,4249
SALAH,4244
NAHEL,4239
YAZID,4231
LÉANDRO,4148
WAEL,4135
PIERRE-ANTOINE,4126
TYMÉO,4123
ISMAÏL,4112
LUBIN,4104
CLOTAIRE,4095
MAXIMIN,4084
IYAD,4076
YOUSSOUF,4070
ALOIS,4051
AYMAN,4045
PAULO,4045
ANDREW,4019
ELYAS,4010
ALESSANDRO,3999
YONI,3987
CONSTANTIN,3975
KAYDEN,3972
ELYES,3966
CÉSAR,3962
AZIZ,3960
JOAO,3959
FLAVIO,3934
LOU,3911
TINO,3909
LÉOPOLD,3899
MARCELIN,3882
SYLVESTRE,3882
KELYAN,3866
MATYS,3863
PACO,3856
MEDHI,3853
TARIK,3844
PIERRE-MARIE,3842
AKIM,3830
BRAYAN,3822
ROBERTO,3816
IDRIS,3812
HAMID,3808
JEAN-LOUP,3800
IBRAHIMA,3799
ANSELME,3790
JAWAD,3770
LANDRY,3719
