name,weight
MARTIN,250013
BERNARD,131330
THOMAS,118331
PETIT,115217
ROBERT,112998
RICHARD,109354
DUBOIS,108619
DURAND,108374
MOREAU,102804
LAURENT,97015
SIMON,96397
MICHEL,93493
LEFEBVRE,91459
LEROY,87282
DAVID,76085
ROUX,75365
MOREL,72745
BERTRAND,72683
FOURNIER,71996
GIRARD,70039
FONTAINE,70000
LAMBERT,69252
DUPONT,69221
BONNET,68481
ROUSSEAU,68010
VINCENT,66396
MULLER,64309
LEFEVRE,64107
FAURE,62937
ANDRE,62715
MERCIER,62601
GUERIN,62183
GARCIA,61938
BOYER,61922
BLANC,61743
GARNIER,61499
CHEVALIER,59902
FRANCOIS,59714
LEGRAND,59162
GAUTHIER,57731
PERRIN,56419
ROBIN,55816
CLEMENT,55223
MORIN,54669
HENRY,53949
NICOLAS,53537
ROUSSEL,53520
GAUTIER,53164
MATHIEU,53090
MASSON,52584
DUVAL,51131
MARCHAND,50838
DENIS,49289
LEMAIRE,48873
DUMONT,48757
MARIE,48635
NOEL,48601
MEYER,47492
DUFOUR,47439
MEUNIER,47200
MARTINEZ,47023
BLANCHARD,46004
BRUN,45695
RIVIERE,45694
LUCAS,45444
JOLY,45336
GIRAUD,45026
BRUNET,44638
GAILLARD,44341
BARBIER,44176
GERARD,43649
ARNAUD,43537
RENARD,42672
ROCHE,42580
SCHMITT,42249
ROY,41749
LEROUX,41589
CARON,41553
COLIN,41318
VIDAL,41003
PICARD,41000
ROGER,40599
FABRE,39997
AUBERT,39336
LEMOINE,39158
RENAUD,38063
DUMAS,37562
PAYET,37410
OLIVIER,37366
LACROIX,37290
PHILIPPE,36722
PIERRE,36669
BOURGEOIS,36647
LOPEZ,36571
BENOIT,35997
LECLERC,35952
REY,35603
LECLERCQ,35282
SANCHEZ,35260
LECOMTE,35165
ROLLAND,34991
GUILLAUME,34946
JEAN,33993
HUBERT,33532
DUPUY,33468
CARPENTIER,33267
GUILLOT,33243
BERGER,33162
PEREZ,33087
DUPUIS,32749
LOUIS,32513
MOULIN,32232
DESCHAMPS,31482
VASSEUR,31409
HUET,31363
BOUCHER,30532
FERNANDEZ,30435
FLEURY,30347
ADAM,30156
ROYER,30117
PARIS,30053
JACQUET,29997
KLEIN,29805
POIRIER,29757
CHARLES,29664
AUBRY,29659
GUYOT,29550
CARRE,29318
RENAULT,29269
MENARD,29208
MAILLARD,29190
CHARPENTIER,29185
MARTY,29153
BERTIN,29118
BARON,29038
DA SILVA,28730
BAILLY,28461
HERVE,28439
SCHNEIDER,28400
LE GALL,27857
COLLET,27784
LEGER,27715
BOUVIER,27490
JULIEN,27182
PREVOST,27099
MILLET,26788
LE ROUX,26713
DANIEL,26571
PERROT,26530
COUSIN,26515
GERMAIN,26343
BRETON,26055
RODRIGUEZ,26021
LANGLOIS,25998
REMY,25844
BESSON,25717
LEVEQUE,25621
LE GOFF,25569
PELLETIER,25569
LEBLANC,25423
BARRE,25242
LEBRUN,25189
GRONDIN,25104
PERRIER,25082
MARCHAL,24935
WEBER,24758
BOULANGER,24602
MALLET,24524
HAMON,24506
JACOB,24433
MONNIER,24398
MICHAUD,24146
GUICHARD,24145
POULAIN,23983
ETIENNE,23970
GILLET,23930
HOARAU,23868
TESSIER,23702
CHEVALLIER,23548
COLLIN,23446
LEMAITRE,23418
BENARD,23390
CHAUVIN,23349
BOUCHET,23110
MARECHAL,23061
GAY,23032
HUMBERT,22598
GONZALEZ,22554
ANTOINE,22553
PERRET,22282
REYNAUD,22281
CORDIER,21856
LEJEUNE,21731
BARTHELEMY,21693
DELAUNAY,21691
CARLIER,21636
PICHON,21608
PASQUIER,21537
LAMY,21483
GILBERT,21442
PEREIRA,21402
MAILLOT,21300
BRIAND,21228
ALEXANDRE,21178
LAPORTE,21076
OLLIVIER,21051
BUISSON,21005
GROS,20998
LEGROS,20802
BESNARD,20798
GEORGES,20771
GUILLOU,20754
DELATTRE,20719
COULON,20486
HEBERT,20391
ALBERT,20386
LAUNAY,20325
LESAGE,20311
CAMUS,20232
VOISIN,20121
PONS,20068
DIDIER,20053
FERREIRA,20019
BLANCHET,19988
VALLEE,19985
JACQUES,19936
MARTEL,19839
BIGOT,19813
BARBE,19808
COSTE,19730
CHARRIER,19721
SAUVAGE,19686
BOUSQUET,19674
GUILLET,19630
LEDUC,19608
PASCAL,19600
MAURY,19547
RAYNAUD,19527
VERDIER,19524
MAHE,19427
LEBON,19389
LELIEVRE,19375
LEBRETON,19197
GREGOIRE,19178
JOUBERT,19122
MASSE,19051
PINEAU,19022
GOMEZ,18939
MORVAN,18925
DELMAS,18924
GAUDIN,18883
TANGUY,18838
COLAS,18774
PAUL,18755
RAYMOND,18511
GUILLON,18451
REGNIER,18405
HARDY,18367
IMBERT,18365
BRUNEL,18354
DEVAUX,18309
COURTOIS,18255
FERRAND,18252
BLONDEL,18189
BODIN,18135
ALLARD,18101
LENOIR,18027
LAINE,18025
DELORME,17993
BERTHELOT,17941
CHAUVET,17923
SEGUIN,17871
BONNEAU,17830
RODRIGUES,17767
CLERC,17765
RIOU,17739
THIBAULT,17728
HOAREAU,17719
LACOMBE,17678
DOS SANTOS,17661
GODARD,17640
VAILLANT,17640
LAGARDE,17571
COUTURIER,17560
VALENTIN,17557
BRUNEAU,17531
TURPIN,17473
MARIN,17390
BLIN,17365
JOURDAN,17365
LOMBARD,17333
FERNANDES,17316
ROSSI,17288
EVRARD,17272
MARY,17270
GUILBERT,17243
TEXIER,17239
BAUDRY,17206
MARION,17172
PAGES,17133
ALLAIN,17132
MAURICE,17125
DUPRE,17041
BOURDON,17028
LEFORT,17016
LEGENDRE,16890
DUHAMEL,16785
CHARTIER,16727
GILLES,16721
LOISEAU,16610
LAROCHE,16549
LACOSTE,16501
GONCALVES,16448
TOUSSAINT,16445
HERNANDEZ,16300
ROUSSET,16294
FISCHER,16226
NORMAND,16145
MAILLET,16117
WAGNER,16058
GUIBERT,16006
LABBE,15940
BAZIN,15913
LECONTE,15870
ROCHER,15867
BONNIN,15841
GRENIER,15839
PRUVOST,15829
JACQUOT,15808
PELTIER,15713
DESCAMPS,15708
MERLE,15643
AUGER,15633
VALETTE,15549
POTTIER,15500
VALLET,15482
PARENT,15449
POTIER,15433
DELAHAYE,15406
JOSEPH,15375
BOUTIN,15325
MARTINEAU,15284
CHAUVEAU,15254
PERON,15157
NEVEU,15086
LEMONNIER,15063
BLOT,15037
VIAL,14961
RUIZ,14905
DELAGE,14828
PETITJEAN,14745
MAURIN,14722
FAIVRE,14719
CHRETIEN,14718
LEVY,14644
GUYON,14619
FOUQUET,14617
MACE,14594
BECKER,14527
FOUCHER,14512
LAFON,14478
FAVRE,14465
CROS,14454
BOUVET,14447
GALLET,14425
SALMON,14381
BERNIER,14369
SERRE,14347
